Nomor Referensi,Tgl Transaksi,Tgl Efektif,Debit,Kredit,Saldo,Keterangan,sumber dana
121PB7R212730001,44469,44469,,-300000,-934868624,Adjustmen (+/+) sumber dana sekolah untuk pegawai SDIT Anak Shalih -> ke SDM Sekolah (Pemindahan sumber saja),SPP SDIT
121PB7R212730001,44469,44469,,850000,-934018624,Adjustmen (-/-) sumber dana sekolah untuk insentif pegawai Yayasan,SPP SDIT
121PB7R212730001,44469,44469,,-2202258,-936220882,Adjusment (+/+) dompet pendidikan,SPP SDIT
121PB7R212730001,44469,44469,,266480,-935954402,Adjusment (-/-) dompet pendidikan,SPP TKIT AE
121PB7R212730001,44469,44469,,96667,-935857735,Adjusment (-/-) dompet pendidikan,SPP TKIT ANS
121PB7R212730001,44469,44469,,1028410,-934829325,Adjusment (-/-) dompet pendidikan,SPP SDIT
Penampungan sementara mukafaah September 2021,44469,44469,,-6100000,-940929325,Penampungan mukafaah September ke Alokasi Pinjaman | PNS,PNS YYS
Penampungan sementara mukafaah September 2021,44469,44469,,6100000,-934829325,Penampungan mukafaah September ke Alokasi Pinjaman | Alokasi Pinjaman,AP YYS
Penampungan sementara mukafaah September 2021,44469,44469,,-12947594,-947776919,Penampungan mukafaah September ke Penampungan PAP | PNS,PNS YYS
Penampungan sementara mukafaah September 2021,44469,44469,,12947594,-934829325,Penampungan mukafaah September ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai,PNS PAP YYS
Penampungan sementara mukafaah September 2021,44469,44469,,100476,-934728849,Penampungan sementara mukafaah September ke infaq umum DPD ibu Norit | PNS,PNS YYS
Penampungan sementara mukafaah September 2021,44469,44469,,-100476,-934829325,Penampungan sementara mukafaah September ke infaq umum DPD ibu Norit | Infaq Umum,INF YYS
Penampungan sementara mukafaah September 2021,44469,44469,,1100000,-933729325,Penampungan sementara mukafaah September ke Investasi Gedung SDIT | PNS,PNS YYS
Penampungan sementara mukafaah September 2021,44469,44469,,-1100000,-934829325,Penampungan sementara mukafaah September ke Investasi Gedung SDIT | ING SDIT,ING SDIT YYS
Dompet Pendidikan September 2021,44469,44469,,7336767,-927492558,Penyesuaian dompet pendidikan | (+/+) SPP,SPP SDIT
Dompet Pendidikan September 2021,44469,44469,,-7336767,-934829325,Penyesuaian dompet pendidikan | (-/-) Dompet Pendidikan,DPD SDIT
121DCTC213020505,44498,44498,,-1680000,-936509325,FK-014-TKAS-001-10-2021 anggaran TKIT Anak Shalih | BKS,BKS TKIT ANS
121DCTC213020505,44498,44498,,-2520000,-939029325,FK-014-TKAS-001-10-2021 anggaran TKIT Anak Shalih | SPP,SPP TKIT ANS
121DCTC213020505,44498,44498,,-120000,-939149325,FK-014-TKAS-001-10-2021 anggaran TKIT Anak Shalih | Uang gedung,INR TKIT ANS
121Q5F3213020001,44498,44498,,-208270638,-1147419963,Mukafaah SDIT Anak Shalih Oktober 2021,SPP SDIT
121Q5F3213020001,44498,44498,,-40283863,-1187703826,Mukafaah Yayasan Oktober 2021,SPP SDIT
121Q5F3213020001,44498,44498,,-15856480,-1203560306,Mukafaah TKIT Aisyah Oktober 2021,SPP TKIT AE
121Q5F3213020001,44498,44498,,-3850800,-1207411106,Mukafaah Daycare Oktober 2021,SPP SDIT
121Q5F3213020001,44498,44498,,-13517800,-1220928906,Mukafaah Lingkungan Oktober 2021,SPP SDIT
121Q5F3213020001,44498,44498,,-6110267,-1227039173,Mukafaah TKIT Anak Shalih Oktober 2021,SPP TKIT ANS
121Q5F3213020001,44498,44498,,3350000,-1223689173,Adjustmen (-/-) Insentif pegawai SDIT Anak Shalih | Sumber bukan dari sekolah,SPP SDIT
121Q5F3213020001,44498,44498,,-70000,-1223759173,Adjustmen (+/+) Insentif pegawai Non SDIT Anak Shalih | Sumber sekolah,SPP SDIT
121Q5F3213020001,44498,44498,,850000,-1222909173,Adjustmen (-/-) Insentif pegawai yayasan Sumber dari non yayasan,SPP SDIT
121Q5F3213020001,44498,44498,,70000,-1222839173,Adjustmen (-/-) Insentif pegawai daycare Sumber dari non daycare,SPP SDIT
121Q5F3213020001,44498,44498,,-2302734,-1225141907,Adjusment (+/+) dompet pendidikan,SPP SDIT
121Q5F3213020001,44498,44498,,266480,-1224875427,Adjusment (-/-) dompet pendidikan | TKIT Aiysha,SPP TKIT AE
121Q5F3213020001,44498,44498,,96667,-1224778760,Adjusment (-/-) dompet pendidikan | TKiT Anak Shalih,SPP TKIT ANS
121Q5F3213020001,44498,44498,,1028410,-1223750350,Adjusment (-/-) dompet pendidikan | Yayasan,SPP SDIT
121Q5F3213020001,44498,44498,,100476,-1223649874,Adjusment (+/+) dompet pendidikan Sumber non Dompet SDIT,SPP SDIT
Penampungan sementara mukafaah Oktober 2021,44501,44501,,-7250000,-1230899874,Penampungan mukafaah September ke Alokasi Pinjaman | PNS,PNS YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,7250000,-1223649874,Penampungan mukafaah September ke Alokasi Pinjaman | Alokasi Pinjaman,AP YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,-13445594,-1237095468,Penampungan mukafaah September ke Penampungan PAP | PNS,PNS YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,13445594,-1223649874,Penampungan mukafaah September ke Penampungan PAP | Penampunga Pendidikan Anak Pegawai,PNS PAP YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,-100476,-1223750350,Penampungan sementara mukafaah September ke infaq umum DPD ibu Norit | PNS,INF YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,100476,-1223649874,Penampungan sementara mukafaah September ke infaq umum DPD ibu Norit | Infaq Umum,PNS YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,-1100000,-1224749874,Penampungan sementara mukafaah September ke Investasi Gedung SDIT | PNS,INF YYS
Penampungan sementara mukafaah Oktober 2021,44501,44501,,1100000,-1223649874,Penampungan sementara mukafaah September ke Investasi Gedung SDIT | ING SDIT,PNS YYS
Dompet Pendidikan Oktober 2021,44501,44501,,7336767,-1216313107,Penyesuaian dompet pendidikan | (+/+) SPP,SPP SDIT
Dompet Pendidikan Oktober 2021,44501,44501,,-7336767,-1223649874,Penyesuaian dompet pendidikan | (-/-) Dompet Pendidikan,DPD SDIT
Gabungan,44511,44511,,-4463118,-1228112992,Pengamblian dana kelas 6 sumber dari BKS SDIT Anak Shalih Bogor,BKS SDIT
Gabungan,44511,44511,,-441925,-1228554917,Pengamblian dana kelas 6 sumber dari Belanjan Minimart,BTDKS SDIT
Gabungan,44511,44511,,-3600000,-1232154917,Pengamblian dana kelas 6 sumber dari Belanjan SPP,SPP SDIT
121CQWL213050501,44501,44501,,-13595000,-1245749917, Cheque Withdrawal MUHAMMAD FARRAS MARUF   CHEQUE WITHDRAWAL | Anggaran Operasional SDIT Anak Shalih November 2021 - Operasional Kantor,SPP SDIT
121CQWL213050501,44501,44501,,-25030000,-1270779917, Cheque Withdrawal MUHAMMAD FARRAS MARUF   CHEQUE WITHDRAWAL | Anggaran Operasional SDIT Anak Shalih November 2021 - BKS,BKS SDIT
121CQWL213050501,44501,44501,,-3543000,-1274322917, Cheque Withdrawal MUHAMMAD FARRAS MARUF   CHEQUE WITHDRAWAL | Anggaran Operasional TKIT Aisyah Educare November 2021 - Operasional Kantor,SPP TKIT AE
121CQWL213050501,44501,44501,,-7341542,-1281664459, Cheque Withdrawal MUHAMMAD FARRAS MARUF   CHEQUE WITHDRAWAL | Anggaran Operasional TKIT Aisyah Educare November 2021 - BKS,BKS TKIT AE
121CQWL213050501,44501,44501,,-35824100,-1317488559, Cheque Withdrawal MUHAMMAD FARRAS MARUF   CHEQUE WITHDRAWAL | Anggaran Operasional Yayasan bulan November,SPP SDIT
000DCTM213136987,44509,44509,,13700,-1317474859,ARI LESTARI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM Sisa Anggaran Oktober 2021  INTERNAL TRANSFER MOBILE BANKING | Sisa Operasional Sekolah,BKS TKIT ANS
000DCTM213136987,44509,44509,,304400,-1317170459,ARI LESTARI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM Sisa Anggaran Oktober 2021  INTERNAL TRANSFER MOBILE BANKING | Sisa Operasional Kantor,SPP TKIT ANS
122DCTC213230501,44519,44519,,5074500,-1312095959,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | SDIT SPP,SPP SDIT
122DCTC213230501,44519,44519,,375000,-1311720959,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | SDIT Sarpras,SRN SDIT
122DCTC213230501,44519,44519,,600000,-1311120959,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | SDIT Seragam,SRG SDIT
122DCTC213230501,44519,44519,,1274465,-1309846494,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | SDIT BKS,BKS SDIT
122DCTC213230501,44519,44519,,2241000,-1307605494,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT AE SPP,SPP TKIT AE
122DCTC213230501,44519,44519,,114750,-1307490744,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT AE Sarpras,SRN TKIT AE
122DCTC213230501,44519,44519,,183333,-1307307411,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT AE Seragam,SRG TKIT AE
122DCTC213230501,44519,44519,,1142879,-1306164532,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT AE BKS,BKS TKIT AE
122DCTC213230501,44519,44519,,680000,-1305484532,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT ANSHAL SPP,SPP TKIT ANS
122DCTC213230501,44519,44519,,91667,-1305392865,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT ANSHAL Sarpras,SRN TKIT ANS
122DCTC213230501,44519,44519,,370833,-1305022032,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT ANSHAL Seragam,SRG TKIT ANS
122DCTC213230501,44519,44519,,799167,-1304222865,DARI 1220003632 PENDIDIKAN ISLAM IMAM AHMAD BI KE 1210038105 YAY. PENDIDIKAN ISLAM IMAM AHM FPK-485-YPI-U03-11-2021 | TKIT ANSHAL BKS,BKS TKIT ANS
